Field Name, Units, Description
a,1/m,Total absorption coefficient (aw + ap + ag),,Total absorption coefficient (aw + ap + ag)
a*ph,m^2/mg,Chlorophyll a specific absorption coefficient,,Chlorophyll a specific absorption coefficient
a*srfa,m^2/mg,Specific absorption coefficient of Suwanee River Fulvic Acid standard,,Specific absorption coefficient of Suwanee River Fulvic Acid standard
aaer,1/m,Absorption coefficient of atmospheric aerosols,,Absorption coefficient of atmospheric aerosols
abs,unitless,Absorbance,,Absorbance
abs*,m^2/mg,Carbon specific absorbance,,Carbon specific absorbance
abs_ad,unitless,Absorbance (Optical Density) of non-algal detritus,,Absorbance (Optical Density) of non-algal detritus
abs_ag,unitless,Absorbance (Optical Density) of Gelbstoff,,Absorbance (Optical Density) of Gelbstoff
abs_ap,unitless,Absorbance (Optical Density) of particles (ad + aph),,Absorbance (Optical Density) of particles (ad + aph)
abs_blank_ad,unitless,Absorbance of a blank (or unused) filter pad for non-algal detritus.,,Absorbance of a blank (or unused) filter pad for non-algal detritus.
abs_blank_ag,unitless,Absorbance of a blank (or unused) filter pad for Gelbstoff.,,Absorbance of a blank (or unused) filter pad for Gelbstoff.
abs_blank_ap,unitless,Absorbance of a blank (or unused) filter pad for particles.,,Absorbance of a blank (or unused) filter pad for particles.
abs_nacl,unitless,Absorbance of NaCl solution (use with the _###ppt suffix),,Absorbance of NaCl solution (use with the _###ppt suffix)
abundance,none,"Number of cells observed (to specify a particular taxonomic type, see ""_abun"" in Table of Field Name Suffixes)",,"Number of cells observed (to specify a particular taxonomic type, see ""_abun"" in Table of Field Name Suffixes)"
ad,1/m,Absorption coefficient of non-algal detritus,,Absorption coefficient of non-algal detritus
ad_unc,1/m,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of non-algal detritus (ad) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's ""Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018).",,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of non-algal detritus (ad) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's ""Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018)."
adg,1/m,Absorption coefficient of non-algal detritus + Gelbstoff (ad + ag),,Absorption coefficient of non-algal detritus + Gelbstoff (ad + ag)
ag,1/m,Absorption coefficient of Gelbstoff,,Absorption coefficient of Gelbstoff
agp,1/m,Absorption coefficient of Gelbstoff + particles (ag + ap),,Absorption coefficient of Gelbstoff + particles (ag + ap)
Allo,mg/m^3,HPLC Alloxanthin,,HPLC Alloxanthin
alpha-beta-Car,mg/m^3,"HPLC Alpha (Beta,epsilon) + Beta (Beta,beta) Carotenes",,"HPLC Alpha (Beta,epsilon) + Beta (Beta,beta) Carotenes"
altitude,m,Altitude above sea level,,Altitude above sea level
am,unitless,Airmass,,Airmass
AMC,umol,Concentration of 7-Amino-4-methylcoumarin's fluorescent molecules without an associated substrate (used for the calibration curve in flow cytometry).,,Concentration of 7-Amino-4-methylcoumarin's fluorescent molecules without an associated substrate (used for the calibration curve in flow cytometry).
AMC-Leu,umol/L/hr,Rate of substrate cleavage for L-Leucine-7-amido-4-methylcoumarin hydrochloride,,Rate of substrate cleavage for L-Leucine-7-amido-4-methylcoumarin hydrochloride
angstrom,unitless,Angstrom exponent,,Angstrom exponent
Anth,mg/m^3,HPLC Antheraxanthin,,HPLC Antheraxanthin
AOT,unitless,Aerosol Optical Thickness (sometimes referred to as tau or taua),,Aerosol Optical Thickness (sometimes referred to as tau or taua)
